"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","blue","GO:0007059","chromosome segregation","62/303","275/17913",3.48869588353394e-52,8.12168401686701e-49,6.43388967152785e-49,"9212/332/83990/699/701/891/991/990/157313/113130/55143/81620/1062/1063/55839/387103/64793/9787/79075/1894/9700/81610/2177/26271/2237/55355/9928/81930/3835/9493/11004/24137/57082/4085/4288/9918/64151/23397/10403/4751/83540/51203/9055/84722/29127/5885/116028/151246/220134/221150/10592/10051/79677/10615/57405/54908/6732/10460/7153/9319/7272/11130",62
"2","blue","GO:0006260","DNA replication","59/303","260/17913",8.63280363618374e-50,1.00485834325179e-46,7.96035366873364e-47,"10189/580/641/83990/890/898/9134/8318/990/8317/983/1017/81620/10036/1111/11200/10926/80174/1763/27000/29980/79075/51514/144455/79733/9156/26271/2237/9837/51659/84296/51053/23560/3159/55388/4171/4172/4173/4174/4175/4176/84515/4678/4998/23594/9768/5111/5427/5888/5983/5984/55159/80010/116028/10535/6240/6241/8914/11073",59
"3","blue","GO:0000280","nuclear division","62/303","357/17913",7.57493526867346e-45,5.8781497684906e-42,4.65659178621611e-42,"54443/259266/6790/9212/79866/83990/701/891/991/995/990/113130/55143/81620/1062/1063/64793/1111/11200/1164/9787/79075/9700/2177/26271/63979/3832/9928/81930/3835/9493/11004/24137/9735/4085/84930/4288/4605/9918/64151/23397/10403/4751/51203/9055/84722/29127/5885/25788/151246/10592/10051/10615/54908/10460/7153/22974/9319/7272/11065/27338/11130",62
"4","blue","GO:0140014","mitotic nuclear division","53/303","237/17913",2.60877513287036e-44,1.51830712733055e-41,1.2027826402076e-41,"54443/6790/9212/79866/701/891/991/995/990/113130/55143/81620/1062/1063/64793/1111/11200/9787/79075/9700/26271/3832/9928/81930/3835/9493/11004/24137/9735/4085/4288/4605/9918/64151/23397/10403/4751/51203/9055/84722/29127/5885/10592/10051/10615/54908/10460/22974/9319/7272/11065/27338/11130",53
"32","blue","GO:1905818","regulation of chromosome separation","18/303","52/17913",1.97070416440609e-19,1.43368727960543e-17,1.13574792632877e-17,"9212/701/891/991/990/81620/1062/1063/9787/9700/26271/4085/10403/5885/54908/10460/9319/7272",18
"60","blue","GO:0050000","chromosome localization","17/303","72/17913",2.84660720524183e-15,1.08637730718082e-13,8.60613601998912e-14,"891/113130/55143/81620/1062/1063/9787/81610/9928/81930/3835/11004/10403/54820/84722/10615/54908",17
"77","blue","GO:1905819","negative regulation of chromosome separation","12/303","33/17913",1.14088732631702e-13,3.44933207229353e-12,2.73251482666769e-12,"9212/891/991/81620/1063/26271/4085/10403/5885/54908/9319/7272",12
"83","blue","GO:0140013","meiotic nuclear division","20/303","142/17913",3.4411213414317e-13,9.65172347331687e-12,7.64596650626296e-12,"259266/6790/83990/991/1164/9700/2177/26271/63979/81930/84930/23397/5885/25788/151246/10592/10051/7153/9319/7272",20
"94","blue","GO:0034502","protein localization to chromosome","15/303","82/17913",6.76284711631086e-12,1.67488383901826e-10,1.32682062125158e-10,"9212/701/7203/22948/113130/983/81620/2146/57082/84515/4436/10403/5885/54908/7272",15
"104","blue","GO:0031145","anaphase-promoting complex-dependent catabolic process","14/303","81/17913",7.67244870103706e-11,1.71744813230907e-09,1.36053948625678e-09,"6790/9212/701/891/991/983/1017/26271/4085/5690/23198/9232/11065/27338",14
"124","blue","GO:0009314","response to radiation","27/303","435/17913",6.67365552249351e-09,1.25292500454556e-07,9.92550464805487e-08,"440/9212/641/993/1111/11200/1788/51514/1894/2177/2237/63979/3014/25896/4436/2956/10874/55872/9768/5111/5295/5888/10635/8438/55159/6240/11073",27
"166","blue","GO:1904666","regulation of ubiquitin protein ligase activity","6/303","22/17913",1.32401026665354e-06,1.85680475949966e-05,1.47093594621243e-05,"991/26271/4085/84930/11065/27338",6
"182","blue","GO:0061982","meiosis I cell cycle process","10/303","91/17913",3.1702898588056e-06,4.05518395126342e-05,3.21246259839642e-05,"6790/83990/1164/9700/2177/26271/2956/5885/25788/9319",10
"186","blue","GO:0006890","retrograde vesicle-mediated transport, Golgi to ER","9/303","76/17913",5.31252574297853e-06,6.6492257686312e-05,5.26742790135732e-05,"1062/3832/56992/81930/3835/9493/11004/24137/29127",9
"203","blue","GO:0016446","somatic hypermutation of immunoglobulin genes","4/303","11/17913",2.41162508210797e-05,0.000276564689219082,0.000219090855268508,"9156/4436/2956/10721",4
"214","blue","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","9/303","97/17913",3.90927439330068e-05,0.000425270597551588,0.000336893690952424,"1062/3832/56992/81930/3835/9493/11004/24137/29127",9
"246","blue","GO:0060249","anatomical structure homeostasis","18/303","413/17913",0.000250469887101469,0.00237030039500902,0.00187772033462462,"9212/580/641/898/9134/7203/22948/1763/9156/2237/4751/5111/80119/5427/5888/5983/5984/79677",18
"248","blue","GO:0104004","cellular response to environmental stimulus","15/303","310/17913",0.000273258964590487,0.00256510834502683,0.00203204459237068,"9212/641/835/993/1111/11200/1894/63979/3014/25896/55872/5111/5295/5888/10635",15
"265","blue","GO:0061842","microtubule organizing center localization","4/303","25/17913",0.000766865576524361,0.0067368417439574,0.00533683610753001,"259266/6790/29899/4085",4
"267","blue","GO:0061351","neural precursor cell proliferation","9/303","144/17913",0.000779912149314167,0.00680013289739094,0.00538697451448224,"259266/57650/9928/9833/54820/8624/29127/6240/79801",9
"269","blue","GO:0006403","RNA localization","11/303","208/17913",0.000858244906966373,0.00742748752199895,0.00588395647429108,"10189/7203/22948/10212/9631/23165/23225/79902/87178/8607/6432",11
"272","blue","GO:0007077","mitotic nuclear envelope disassembly","3/303","12/17913",0.000941353768269427,0.00799807143259572,0.0063359654322245,"891/9133/983",3
"273","blue","GO:0051095","regulation of helicase activity","3/303","12/17913",0.000941353768269427,0.00799807143259572,0.0063359654322245,"4171/4436/2956",3
"284","blue","GO:0001833","inner cell mass cell proliferation","3/303","13/17913",0.00120849865590346,0.00987152586295875,0.00782009102545837,"9837/84296/54892",3
"285","blue","GO:0062033","positive regulation of mitotic sister chromatid segregation","3/303","13/17913",0.00120849865590346,0.00987152586295875,0.00782009102545837,"81620/9787/9700",3
"286","brown","GO:0045765","regulation of angiogenesis","26/247","383/17913",2.27222925755286e-11,7.3743048660847e-08,5.54647443757746e-08,"185/187/358/947/1003/641700/2022/5168/2321/3791/10365/3952/4223/79812/8829/5468/5740/5797/8434/9037/64094/90627/7010/7048/7060/7075",26
"287","brown","GO:1901342","regulation of vasculature development","27/247","425/17913",4.17689315552801e-11,7.3743048660847e-08,5.54647443757746e-08,"185/187/358/947/1003/641700/2022/5168/2321/3791/10365/3952/4223/79812/8829/80310/5468/5740/5797/8434/9037/64094/90627/7010/7048/7060/7075",27
"288","brown","GO:0001935","endothelial cell proliferation","17/247","185/17913",7.95025335920098e-10,9.35744820377955e-07,7.0380663948295e-07,"185/187/857/858/947/6387/2321/3357/3791/3952/4208/8829/5468/5797/9037/7010/7060",17
"290","brown","GO:0001101","response to acid chemical","21/247","330/17913",6.59605005974446e-09,4.51283255639959e-06,3.39426032279395e-06,"9370/358/552/948/1843/2308/8322/54331/2934/3791/10365/3952/80310/5166/55022/5311/5468/5950/7049/7075/6935",21
"291","brown","GO:0051271","negative regulation of cellular component movement","22/247","365/17913",7.66836458181749e-09,4.51283255639959e-06,3.39426032279395e-06,"130399/9370/6387/114757/10395/1843/2022/90865/4208/4223/4286/79812/8829/90102/5468/5797/8434/9037/9353/90627/7049/7075",22
"302","brown","GO:0043062","extracellular structure organization","21/247","387/17913",1.02841761053578e-07,2.13608387223638e-05,1.60662392036023e-05,"25890/11096/185/151887/947/948/7373/4921/2022/2331/3672/58494/3791/3908/3910/3915/4239/5175/90102/64094/7450",21
"303","brown","GO:0031589","cell-substrate adhesion","19/247","322/17913",1.17132206008752e-07,2.21003628849771e-05,1.66224613748296e-05,"25890/395/151887/947/948/10395/1842/10979/8322/3672/3791/3915/8829/5175/90102/64094/7010/7402/7450",19
"304","brown","GO:0001659","temperature homeostasis","14/247","172/17913",1.18920106149693e-07,2.21003628849771e-05,1.66224613748296e-05,"11096/9370/154/857/948/1910/2034/2167/2308/50486/3910/3952/5733/23090",14
"312","brown","GO:0003018","vascular process in circulatory system","13/247","161/17913",3.72023174868176e-07,4.86523640910936e-05,3.65931567326474e-05,"150/185/9590/857/1910/3043/3357/3672/3952/5139/5797/9353/7010",13
"316","brown","GO:0061041","regulation of wound healing","12/247","143/17913",6.97104469315766e-07,7.94024477791604e-05,5.97213777957107e-05,"150/857/947/948/90102/8613/5627/6403/64094/7035/7048/7056",12
"329","brown","GO:0106106","cold-induced thermogenesis","11/247","143/17913",4.77773782954752e-06,0.000368933122864426,0.000277487596770543,"11096/9370/154/857/948/2034/2167/50486/3910/3952/23090",11
"330","brown","GO:0120161","regulation of cold-induced thermogenesis","11/247","143/17913",4.77773782954752e-06,0.000368933122864426,0.000277487596770543,"11096/9370/154/857/948/2034/2167/50486/3910/3952/23090",11
"333","brown","GO:0032102","negative regulation of response to external stimulus","17/247","343/17913",5.93100533955259e-06,0.000436299580290837,0.00032815628227393,"9370/947/1003/1843/3479/25959/3952/8829/90102/5468/5627/5740/9037/9353/7010/7035/7056",17
"345","brown","GO:0019216","regulation of lipid metabolic process","18/247","402/17913",1.26641638435358e-05,0.000715443146922412,0.00053810999111188,"221395/9370/150/185/552/857/83643/948/2321/50486/57678/3357/3952/5166/8611/5468/8835/7010",18
"346","brown","GO:0007204","positive regulation of cytosolic calcium ion concentration","14/247","255/17913",1.2826718644626e-05,0.000715443146922412,0.00053810999111188,"185/287/187/552/781/857/948/1910/3357/1902/5311/10268/1901/11346",14
"353","brown","GO:2000377","regulation of reactive oxygen species metabolic process","12/247","194/17913",1.65766160372601e-05,0.000860765165111255,0.000647411799721473,"185/857/947/948/2308/3043/10365/3952/55022/5311/5740/7048",12
"380","brown","GO:0120162","positive regulation of cold-induced thermogenesis","8/247","97/17913",5.86118661222253e-05,0.00217851051871134,0.0016385344955831,"9370/154/857/948/2034/2167/50486/3952",8
"385","brown","GO:0198738","cell-cell signaling by wnt","19/247","500/17913",6.89169198922419e-05,0.00243345644139506,0.00183028830408554,"857/1363/1601/85458/10979/2308/8322/54331/2869/3489/4286/5311/8613/166336/27303/8434/9037/64321/83595",19
"388","brown","GO:0002576","platelet degranulation","9/247","128/17913",7.14124973220753e-05,0.00244813134023542,0.00184132581240262,"948/1675/2162/3479/5175/5627/6414/6403/7450",9
"392","brown","GO:0015850","organic hydroxy compound transport","12/247","228/17913",8.03931213087182e-05,0.0026529730031877,0.00199539444232067,"9370/150/185/358/857/948/1066/6387/3952/5468/5950/9194",12
"395","brown","GO:0043270","positive regulation of ion transport","13/247","266/17913",8.66213286574364e-05,0.00278054464990371,0.00209134557131782,"150/154/287/187/552/781/857/6387/2273/3952/5311/10268/6330",13
"401","brown","GO:0070482","response to oxygen levels","16/247","389/17913",0.000105256697264672,0.00320397756932376,0.0024098243847438,"9370/81575/358/857/947/6387/114757/2034/2308/3952/1902/5468/5740/7010/7048/7049",16
"414","brown","GO:0048846","axon extension involved in axon guidance","4/247","20/17913",0.000143665426274087,0.003890741122244,0.00292636344301498,"6387/8829/9037/9353",4
"415","brown","GO:1902284","neuron projection extension involved in neuron projection guidance","4/247","20/17913",0.000143665426274087,0.003890741122244,0.00292636344301498,"6387/8829/9037/9353",4
"418","brown","GO:1904019","epithelial cell apoptotic process","8/247","111/17913",0.000151793526854692,0.00401784029784944,0.00302195920984785,"57124/641700/2934/3791/9037/7010/7048/7538",8
"452","brown","GO:0110020","regulation of actomyosin structure organization","7/247","94/17913",0.000321560262512647,0.00679897776606081,0.00511375066069592,"395/10395/1902/4208/8829/90102/1901",7
"456","brown","GO:0110053","regulation of actin filament organization","11/247","228/17913",0.000337114048957764,0.00696110939689979,0.00523569557107072,"395/6387/10395/2934/25802/1902/8829/90102/1901/9037/9353",11
