"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","blue","GO:0098687","chromosomal region","72/306","337/18678",5.59518754079458e-60,1.63379476191202e-57,1.22505158787923e-57,"10189/9212/332/641/699/701/891/113130/55143/983/1017/81620/1062/1063/64946/2491/64105/91687/79019/55839/79682/387103/1111/11200/1763/1786/1788/79075/79980/54821/2146/2237/3014/3070/55355/81930/3835/11004/57082/9735/4085/4171/4172/4173/4174/4175/4176/4436/64151/10403/54820/4751/83540/79902/11339/4998/5111/80119/5885/5888/151246/220134/221150/79677/10615/147841/57405/54908/79723/7272/55055/11130",72
"12","blue","GO:0030496","midbody","22/306","171/18678",7.90092017129656e-14,1.92255724168216e-12,1.44157139967516e-12,"54443/259266/6790/9212/332/55143/983/1062/1063/57562/55165/1894/9928/10112/9493/24137/4751/9055/84722/29127/79801/10615",22
"18","blue","GO:0042555","MCM complex","7/306","11/18678",9.23026831944882e-11,1.49735463848836e-09,1.12274608797974e-09,"4171/4172/4173/4174/4175/4176/84515",7
"23","blue","GO:0000307","cyclin-dependent protein kinase holoenzyme complex","7/306","29/18678",3.38829733293698e-07,4.30166444007652e-06,3.22547297597662e-06,"890/891/898/9134/983/1017/5111",7
"31","blue","GO:0045171","intercellular bridge","7/306","59/18678",4.86419522431282e-05,0.000458175808225594,0.00034354927220953,"8317/55143/55165/10112/9493/24137/22974",7
"35","blue","GO:0090734","site of DNA damage","7/306","65/18678",9.12886462431847e-05,0.000740452352861387,0.000555205801712936,"79000/3014/5888/55159/79677/8914/56893",7
"48","blue","GO:0018995","host","6/306","69/18678",0.000928315158030921,0.00553200053357202,0.00414800328400498,"3838/9631/23165/23225/79902/7153",6
"49","blue","GO:0043657","host cell","6/306","69/18678",0.000928315158030921,0.00553200053357202,0.00414800328400498,"3838/9631/23165/23225/79902/7153",6
"62","brown","GO:0062023","collagen-containing extracellular matrix","26/257","399/18678",5.56465002297212e-11,9.19622322678865e-09,7.30725908661478e-09,"25890/11096/9370/151887/8483/7373/1306/1359/6387/1805/1842/2202/2162/2331/80760/3908/3910/3915/4239/79812/4969/64094/8404/8406/7060/7450",26
"63","brown","GO:0031012","extracellular matrix","28/257","468/18678",7.15659395080829e-11,9.19622322678865e-09,7.30725908661478e-09,"25890/11096/9370/151887/57124/8483/7373/1306/1359/6387/1805/1842/2202/2162/2331/80760/3908/3910/3915/4239/79812/4969/64094/8404/8406/7049/7060/7450",28
"64","brown","GO:0005912","adherens junction","26/257","496/18678",5.78697127079163e-09,4.05767763284008e-07,3.2242042218758e-07,"9590/83478/857/858/1003/1601/4921/85458/10395/2022/10979/2273/2321/2934/3672/91624/8829/5239/90102/8613/10544/5797/6645/171024/7010/7145",26
"65","brown","GO:0005925","focal adhesion","23/257","397/18678",7.18262659968639e-09,4.05767763284008e-07,3.2242042218758e-07,"9590/83478/857/858/1601/4921/85458/10395/2022/10979/2273/2321/2934/3672/91624/8829/5239/90102/10544/6645/171024/7010/7145",23
"66","brown","GO:0005924","cell-substrate adherens junction","23/257","399/18678",7.89431446077837e-09,4.05767763284008e-07,3.2242042218758e-07,"9590/83478/857/858/1601/4921/85458/10395/2022/10979/2273/2321/2934/3672/91624/8829/5239/90102/10544/6645/171024/7010/7145",23
"68","brown","GO:0098552","side of membrane","18/257","359/18678",2.62763443017585e-06,9.64717212221704e-05,7.66558014216714e-05,"118429/858/947/948/1003/2022/2028/10979/54331/3554/3672/5175/5239/5311/1901/6403/7048/7049",18
