"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","blue","GO:0008094","DNA-dependent ATPase activity","16/294","72/16969",7.5491580971777e-14,2.7101477568868e-11,2.30447984019109e-11,"641/83990/1763/79075/54821/4173/4175/4176/80119/10721/5888/25788/5983/5984/8607/7153",16
"2","blue","GO:0140097","catalytic activity, acting on DNA","19/294","152/16969",1.75234625593435e-11,3.14546152940216e-09,2.67463375905769e-09,"641/83990/1763/1786/1788/54821/9156/2237/4173/4175/4176/55247/5111/80119/10721/25788/8438/8607/7153",19
"6","blue","GO:0003682","chromatin binding","27/294","437/16969",1.18293646904707e-08,7.07790320646497e-07,6.01844870216931e-07,"83990/84733/113130/983/81620/1063/10036/1164/27000/1786/1788/9156/2146/51053/3159/84515/4436/2956/7468/4998/9768/5111/10721/5888/7153/29089/29128",27
"10","blue","GO:0003684","damaged DNA binding","10/294","60/16969",7.34059480752194e-08,2.63527353590038e-06,2.24081315176986e-06,"79000/641/2237/3014/3148/4436/2956/55247/5111/10721",10
"20","blue","GO:0016893","endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters","6/294","39/16969",5.1832593813609e-05,0.000930395058954281,0.000791129063470874,"27161/1763/9156/2237/10940/10535",6
"21","blue","GO:0035173","histone kinase activity","4/294","14/16969",7.70544137661032e-05,0.00131726354962053,0.00112008922266516,"9212/983/1017/1111",4
"28","blue","GO:0140030","modification-dependent protein binding","9/294","135/16969",0.000579049339919645,0.00742423975111259,0.00631294393145478,"84733/27000/2956/54892/26147/23198/56893/29128/11091",9
"29","blue","GO:0016879","ligase activity, forming carbon-nitrogen bonds","5/294","40/16969",0.000604158511528571,0.00747906571168128,0.00635956327924812,"440/1503/2618/8833/9654",5
"31","brown","GO:0005201","extracellular matrix structural constituent","16/239","158/16969",8.09030823425977e-10,3.32511668428076e-07,2.76773702750992e-07,"25890/9370/8483/7373/1306/1805/2202/2331/3908/3910/3915/4239/79812/4969/8406/7450",16
"32","brown","GO:0019838","growth factor binding","14/239","121/16969",1.64519129364484e-09,3.38086810844014e-07,2.81414300228722e-07,"130399/948/1843/2022/2321/3489/3554/3791/152831/3977/8829/7010/7048/7049",14
"34","brown","GO:0019199","transmembrane receptor protein kinase activity","8/239","65/16969",3.48085316095291e-06,0.000357657662287911,0.000297704546660446,"130399/4921/2202/2321/3791/8829/7048/7049",8
"35","brown","GO:0005539","glycosaminoglycan binding","13/239","199/16969",5.05606150294266e-06,0.000415608255541886,0.00034594105020134,"25890/11096/151887/3075/2022/8829/6403/9037/9353/64094/7048/7049/7060",13
"36","brown","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","17/239","390/16969",4.00788269120053e-05,0.00274539964347236,0.00228519627129855,"253738/2004/2034/2078/2353/2354/3234/4005/4094/4208/4222/4223/4286/4692/2908/2494/6925",17
"39","brown","GO:0005044","scavenger receptor activity","6/239","51/16969",7.77072270298168e-05,0.00354863003436164,0.00295378348358953,"57007/948/3426/81035/5168/286133",6
"42","brown","GO:0005178","integrin binding","8/239","113/16969",0.000197745946274286,0.00677279865989431,0.00563749408238097,"11096/6387/1842/3479/3791/7060/7402/7450",8
"43","green","GO:0003725","double-stranded RNA binding","6/39","62/16969",5.51358909280212e-09,6.17521978393838e-07,4.12068237462053e-07,"55601/64135/4938/4939/4940/8638",6
"44","green","GO:0003950","NAD+ ADP-ribosyltransferase activity","3/39","15/16969",5.01039233285227e-06,0.000280581970639727,0.000187230450332901,"64761/54625/83666",3
"45","green","GO:0070566","adenylyltransferase activity","3/39","26/16969",2.81340828146958e-05,0.00105033909174864,0.000700884168366105,"4938/4939/4940",3
"47","green","GO:0042379","chemokine receptor binding","3/39","47/16969",0.000169699127477007,0.00380126045548495,0.00253655537913,"3627/6373/6772",3
